X,Y,OBJECTID,GLOBALID,REQUESTID,REQUESTTYPE,REQUESTDATE,STATUS,STREETSEGID,COMMENTS,USERTYPE
-76.9955441620161,38.8952014393623,5024,{FF92BF16-012A-4D2D-BA7A-76CDE2211955},5024,Other Biking Issue,2015/08/05 13:47:38+00,Unassigned,3238,MD Avenue needs bike lanes.  It is super dangerous to bike on this road with all the aggressive driving.,Car Driver
-76.9969261166407,38.8989160678827,5042,{3B276C8C-E6CF-4145-8436-3DDF06FD4039},5042,Other Biking Issue,2015/08/05 13:40:49+00,Unassigned,3265,Bike lanes in terrible shape.  Please repair.,Car Driver
-76.9942836654998,38.8957155181672,5044,{095A75A8-A461-4C44-B549-52626C95E145},5044,Other Biking Issue,2015/08/05 13:48:26+00,Unassigned,8992,Need bike lanes.  Very dangerous to bike among aggressive drvivers/speeders.,Car Driver
-76.9919974510604,38.8966453996088,5045,{E4670CB0-9BD8-4909-AE59-2AC55EA61A6A},5045,Other Biking Issue,2015/08/05 13:49:51+00,Unassigned,2414,Need to add bike lanes.  Not sade to bike.,Car Driver
-77.0072485350872,38.8986998032817,5138,{FFDDD7F8-BA88-4CE1-BAFF-61446EA632E3},5138,Other Biking Issue,2015/08/07 17:54:28+00,Unassigned,9000,"given the never ending construction,  this street, it is a terror for everyone that has to use it. Constantly squeezed and funneled different directions as a cyclist, pedestrian, and car makes for a LOT of confusion and precarious situations",Car Driver
-77.0613194071365,38.9747154684456,5223,{186C85E7-B823-4E99-980E-EC0228D88360},5223,Other Biking Issue,2015/08/10 15:21:39+00,Unassigned,2485,"Kids walking to Lafayette and all the walkers need a sidewalk on one side of 32 street.  Cars park on both sides of the street, pedestrians are invevitably in the way of traffic. Preserve old trees by having sidewalks farther away fr. street.  Thx",Pedestrian
-77.0396611095651,38.9231435242606,16005,{59F35C4B-CD6C-47ED-861D-8F98AA821F06},16005,Other Biking Issue,2015/12/17 20:12:32+00,Unassigned,3188,"The one block of 2 way traffic on a very tight road creates confusion for bikers who must be pushed onto the sidewalk or weave through traffic, eliminate parking on one side of the street to add extra space for vehicular traffic.",Car Driver
-76.9607719677051,38.86945681843,29986,{000BAA51-3C79-40B7-BB18-B0D29D9B2454},29986,Other Biking Issue,2016/07/22 15:50:34+00,Unassigned,10176,Double Wide sidewalk needs a sign to mark it as a bike-friendly sidewalk,Pedestrian
-77.0410995339295,38.9626943616689,45240,{6B3DEAD6-3E38-47FC-92CF-2A6A182FDF6C},45240,Other Biking Issue,2018/03/20 21:41:41+00,Unassigned,4223,Some cyclists choose Military Rd. as an east-west route across Rock Creek Park as there aren't many alternatives nearby. They are hard to see and avoid b/c traffic speeds so greatly and curves in road. No bike trail exists adjacent to the road.,Car Driver
-76.9883522956311,38.8920111319861,53890,{661737D8-1A9A-4A4E-91ED-A0EAFB5D44F3},53890,Other Biking Issue,2018/12/18 14:21:12+00,Unassigned,10776,"The bike lane northbound on 13th St ends abruptly, forcing bikes to merge into traffic.  With a school near by it is very dangerous and likely reduces the number of families willing to commute by bike to school. Please extend the bike lane northward.",Car Driver
